time,open,high,low,close,volume,note
2025-09-05,4.4800,4.5000,4.4100,4.4700,233739857,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-08,4.4600,4.5100,4.3900,4.4100,353652032,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-09,4.4200,4.4400,4.3900,4.4300,189102951,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-10,4.4400,4.4600,4.4100,4.4300,292818568,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-11,4.4300,4.4700,4.3800,4.4600,265255712,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-12,4.4600,4.4900,4.3700,4.3800,458020466,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-15,4.3900,4.4100,4.3000,4.3300,563272583,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-16,4.2200,4.2800,4.1000,4.1300,987805250,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-17,4.1300,4.1400,4.0800,4.0900,412626029,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-18,4.1100,4.1100,4.0100,4.0300,505778734,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-19,4.0300,4.1100,4.0200,4.0500,611994649,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-22,4.0500,4.0600,4.0200,4.0400,234090036,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-23,4.0400,4.1200,4.0100,4.0900,490478609,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-24,4.0800,4.1300,4.0600,4.0800,323678289,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-25,4.0800,4.0800,4.0100,4.0600,262098091,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-26,4.0500,4.0700,4.0100,4.0500,199470274,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-29,4.0500,4.0800,3.9900,4.0100,527354679,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-30,4.0100,4.0200,3.9600,3.9800,484729770,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-09,3.9800,3.9900,3.9400,3.9500,450932029,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-10,3.9500,4.0400,3.9400,3.9500,881389106,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-13,3.9300,3.9700,3.8700,3.9600,510466502,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-14,3.9400,4.0400,3.9300,4.0200,605887376,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-15,4.0200,4.0500,3.9900,4.0300,396400400,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-16,4.0200,4.0700,4.0000,4.0600,520669101,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-17,4.0600,4.0800,4.0000,4.0100,464067279,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-20,4.0100,4.0600,3.9700,4.0600,406930204,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-21,4.0400,4.0700,4.0100,4.0200,548845099,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-22,4.0200,4.0700,4.0100,4.0500,618126917,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-23,4.0500,4.1700,4.0400,4.1600,910259191,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-24,4.1500,4.2200,4.1100,4.1200,714507851,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-27,4.1100,4.1300,4.0600,4.0900,541975888,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-28,4.0900,4.1100,4.0100,4.0300,591988455,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-29,4.0200,4.0300,3.9600,3.9700,520625421,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-30,3.9700,3.9900,3.9500,3.9500,431604468,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-10-31,3.9500,3.9500,3.9000,3.9100,467807084,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-03,3.9100,3.9800,3.9000,3.9700,429264482,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-04,3.9700,4.0600,3.9600,4.0500,599789905,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-05,4.0600,4.0700,4.0200,4.0300,328871729,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-06,4.0200,4.0400,4.0000,4.0300,252598641,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-07,4.0300,4.0600,4.0100,4.0300,247473228,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-10,4.0200,4.0500,4.0100,4.0400,319370063,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-11,4.0400,4.0700,4.0300,4.0400,282727444,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-12,4.0400,4.0900,4.0400,4.0500,434255953,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-13,4.0600,4.0700,4.0100,4.0400,381245626,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-14,4.0400,4.0900,4.0400,4.0600,407069285,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-17,4.0600,4.1200,4.0200,4.1000,522149155,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-18,4.1000,4.1100,4.0500,4.0600,320148085,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-19,4.0500,4.1100,4.0500,4.0900,313065317,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-20,4.0800,4.2600,4.0800,4.2000,859043281,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-21,4.1900,4.2400,4.1100,4.1100,559153254,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-24,4.1200,4.1300,4.0500,4.0600,450933420,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-25,4.0600,4.1400,4.0500,4.1300,411367082,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-26,4.1300,4.1600,4.0800,4.1000,326420993,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-27,4.1000,4.1500,4.0800,4.1300,313263183,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-11-28,4.1300,4.1300,4.0800,4.0900,324626010,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-01,4.1000,4.1700,4.0800,4.1500,502292129,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-02,4.1400,4.1600,4.0900,4.1200,334821047,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-03,4.1100,4.1400,4.0600,4.0600,384233694,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-04,4.0600,4.0700,4.0200,4.0300,336245441,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-05,4.0300,4.0400,3.9800,4.0100,355183189,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-08,4.0000,4.0300,3.9900,4.0000,318196658,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-09,4.0000,4.0100,3.9600,3.9700,292993819,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-12-10,3.9700,3.9800,3.9000,3.9300,450789783,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
