time,open,high,low,close,volume,note
2023-01-03,98.5800,98.5800,94.0100,98.0800,4690149,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-04,98.3700,101.3800,97.5600,99.9400,4229002,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-05,101.0000,104.3700,99.9500,103.7600,5292770,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-06,103.5000,106.3600,103.0100,104.4400,4820424,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-09,105.3400,109.0000,104.6100,107.3000,5023070,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-10,106.8000,109.4900,106.2900,108.0000,4634043,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-11,108.5500,109.5400,107.5900,107.8200,3143333,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-12,107.8200,110.0000,107.8100,109.7000,4107672,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-13,109.7000,111.5000,108.7000,110.8000,3989411,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-16,111.4900,119.6700,110.8100,116.7200,8293724,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-17,115.4000,118.3000,115.2100,117.3500,4033676,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-18,117.4000,119.7000,116.9800,118.0500,4479983,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-19,117.9900,120.7000,117.3900,120.4000,4016486,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-20,120.6000,121.0000,118.3900,118.9000,3663112,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-30,121.9000,125.5500,119.3900,120.4000,6423803,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-01-31,120.4000,122.0000,117.0100,117.9500,5854868,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-01,117.9900,123.0700,117.0000,123.0000,5320533,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-02,126.0000,126.0000,118.0000,121.8000,6905938,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-03,119.9700,121.2800,118.9000,120.9600,3617551,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-06,119.0000,120.6400,117.3000,119.0400,5009905,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-07,119.8900,129.4900,119.8900,125.3900,11955854,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-08,124.3700,125.3900,120.2000,123.2800,5492458,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-09,124.4900,126.1900,121.2800,125.4800,5524697,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-10,124.6900,127.7500,123.0000,123.0900,3805605,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-13,123.0600,125.0000,121.7500,124.5900,3769990,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-14,124.4800,126.9700,123.7100,126.9700,3407676,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-15,126.6400,126.9300,122.7000,124.0000,3089155,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-16,123.9000,131.5000,123.4800,125.1900,8514580,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-17,125.0000,125.6600,116.0800,116.5000,9339411,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-20,117.8700,123.1600,117.7000,122.9000,6878409,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-21,122.5000,123.3800,120.7000,123.1000,3377993,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-22,121.9900,123.7700,121.5000,122.3100,3055965,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-23,122.3100,126.6000,120.6900,121.0000,3687904,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2023-02-24,121.5000,121.9000,119.4500,119.8500,3266894,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
