time,open,high,low,close,volume,note
2020-10-14,17.1200,17.1500,16.8200,16.9000,16269225,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-15,16.9500,17.0700,16.5000,16.5300,19262553,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-16,16.5300,16.7500,16.3500,16.4400,14244834,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-19,16.4700,16.6800,16.1800,16.2300,13491042,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-20,16.1700,16.4400,16.0600,16.4400,11220106,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-21,16.4200,16.4300,16.1300,16.2100,11970485,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-22,16.1500,16.3700,16.0200,16.1900,10300112,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-23,16.1800,16.3300,16.1300,16.2100,10148548,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-26,16.1900,16.4700,16.1100,16.3800,12131676,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-27,16.2800,16.3800,14.7400,15.1000,36517222,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-28,15.2400,15.3000,14.8900,15.1000,15509591,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-29,14.8200,15.4500,14.7500,15.3500,15021406,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-30,15.3500,15.7700,15.0700,15.1000,18013087,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-02,15.1200,15.3400,14.9200,15.2000,14241821,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-03,15.2700,15.7600,15.2000,15.6000,15956368,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-04,15.5800,15.6500,15.3600,15.4000,11329522,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-05,15.5500,15.7500,15.4100,15.6400,14220852,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-06,15.6400,15.7200,15.4800,15.6000,13931481,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-09,15.8200,16.7500,15.8200,16.4800,45962857,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-10,16.4600,16.5000,16.0600,16.2000,23612523,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-11,16.2100,16.2700,15.7300,15.7600,18771135,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
