time,open,high,low,close,volume,note
2018-11-28,73.9600,76.3000,73.5000,75.4600,5825061,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-29,76.8200,78.3300,73.8800,73.9000,7306021,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-30,73.0000,76.1700,72.3900,75.3400,5415888,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-03,78.5000,80.6900,77.2200,79.4600,9008292,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-04,79.0000,80.2500,78.5500,78.8400,4547154,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-05,76.6700,78.4800,76.1100,77.4300,4357763,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-06,76.5800,76.5800,74.6800,75.2000,5439431,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-07,76.0000,77.5600,75.8000,76.5100,3963941,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-10,76.0800,77.2700,75.6800,76.6900,2613388,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-11,76.6900,77.6700,76.6300,77.1300,2438963,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-12,77.7700,77.9900,72.0000,72.0200,7752973,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-13,72.5100,73.4000,71.8300,72.8200,4924153,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-14,72.9000,73.4300,70.1800,70.5200,5127698,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-17,70.8200,71.2400,67.4800,69.2500,4741784,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-18,68.7200,70.1800,67.6800,68.5000,3258841,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-19,68.6900,69.1900,67.3100,67.6800,2774105,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-20,68.0000,68.5000,67.3000,68.1100,2636338,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-21,67.9500,68.0600,65.4700,66.9700,3715040,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-24,66.5000,67.9000,66.0700,67.6100,2566054,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-25,66.6400,66.9800,64.2200,66.8000,4149545,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-26,66.8000,67.6800,64.9000,65.0000,4537406,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-27,66.4100,66.6000,62.0000,62.3000,5767062,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-12-28,62.3000,63.0200,60.5200,62.3200,4770622,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-02,62.4900,62.5800,59.6900,59.8000,4241653,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-03,59.7900,60.9800,59.0200,59.2000,3739603,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-04,58.1300,61.3500,57.5500,60.7300,4828528,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-07,61.2000,63.8000,60.9000,62.9000,5651963,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-08,62.5100,62.5200,60.9500,61.2000,3707417,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-09,61.5000,63.9100,61.0100,62.1200,5718728,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-10,62.1300,62.5000,61.0900,61.1200,3207693,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-11,61.2000,61.7800,61.0000,61.2300,2455050,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-14,61.2300,61.7500,58.2000,58.4800,4811542,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-15,58.4700,60.1800,58.0500,60.1000,4084553,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-16,60.2000,62.4900,60.2000,60.8000,4900961,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-17,61.0400,61.6100,59.8800,60.2400,3271208,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-18,60.6000,61.5600,59.8700,61.3200,4140474,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-21,62.1000,67.4500,61.3200,67.4500,13275615,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-22,67.4000,67.4000,65.1600,66.0000,7456368,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-23,65.6500,65.7500,63.8400,65.0000,5237659,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-24,64.4300,70.8700,64.4300,68.2000,10789273,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-25,68.0600,71.4000,67.6400,69.7200,9817784,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-28,71.0000,72.8800,69.5800,69.9000,7887596,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-29,68.2700,70.0900,66.8800,69.2000,6324181,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-30,68.9800,69.5800,66.8000,67.1200,4279562,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-01-31,67.1800,69.9000,67.1800,67.6900,4766575,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-02-01,68.4700,71.3000,68.1300,71.0600,5173057,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-02-11,71.0400,75.6000,70.7500,75.2200,6379066,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-02-12,74.9000,75.3000,73.5500,74.1400,5543177,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2019-02-13,74.5300,78.6900,74.5300,75.3500,8219939,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
