time,open,high,low,close,volume,note
2023-05-24,76.4800,79.6600,74.6800,76.8300,13934561,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-25,81.2000,83.4500,76.8000,81.0000,19036963,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-26,80.3800,87.9000,79.9000,86.5100,25016389,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-29,88.8100,89.3900,84.7000,86.3700,17146636,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-30,85.0100,92.0000,84.6400,90.9200,18753685,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-31,89.9500,93.5200,89.3000,92.7300,14677356,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-01,90.8800,94.8800,86.1200,87.3000,22750606,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-02,88.0000,88.8800,82.2100,83.2000,26392267,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-05,83.1100,84.4500,82.2800,83.5000,14131072,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-06,82.6200,83.5800,78.0600,79.3900,16492708,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-07,79.3200,81.0100,77.1700,79.8800,12355407,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-08,78.5000,78.6500,75.6000,77.2500,14833434,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-09,77.4700,78.4300,73.0600,77.8100,21291540,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-12,77.7900,81.1000,77.7500,78.3900,18523219,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-13,78.8200,82.3200,73.8900,80.7800,27289325,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-14,79.7100,82.6400,78.0100,81.4800,22066544,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-15,81.3800,81.9900,75.5800,75.7800,21340775,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-16,74.9800,77.5200,72.0100,77.0800,21496221,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-19,76.9500,80.8400,75.2800,80.0100,24179651,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-20,81.6800,84.4900,77.4000,83.9700,33139341,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-21,82.1200,82.3000,76.4000,76.4000,21287204,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-26,74.0000,75.9800,69.0000,69.4400,22106950,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-27,69.3900,70.5000,68.6000,68.7200,10526061,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-28,73.0000,74.0000,68.9200,70.0000,19634999,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-29,70.0000,70.4700,66.7000,68.0100,16262480,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-06-30,67.0100,69.7800,66.8800,68.2700,12524838,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-03,68.1100,70.4500,66.0100,69.6000,13811613,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-04,69.1700,71.9900,68.5600,71.1500,13501722,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-05,71.1700,71.5000,69.2100,69.2900,8504015,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-06,68.8000,71.1800,68.7000,69.5000,8031311,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-07,68.9000,69.4600,66.8100,67.0500,7771918,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-10,68.2000,71.3500,67.7900,70.3500,15190578,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-11,71.1700,79.8300,71.1700,77.8000,33197508,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-12,78.3000,79.0000,74.5000,74.9400,16990048,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-13,76.5000,77.4100,74.0000,76.9400,17570171,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-14,76.9900,81.8800,76.9900,78.4000,23955961,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-17,77.1500,79.4100,74.0000,76.1000,15984040,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-18,75.9300,76.2400,73.0300,73.1600,11800674,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-19,73.2400,74.2200,71.6900,71.9500,7667356,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-20,72.0000,72.2700,68.3800,68.5300,9499010,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-21,67.9400,67.9400,61.0200,61.4000,23817707,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-07-24,61.0000,63.0900,60.2900,61.2000,10660464,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
