time,open,high,low,close,volume,note
2021-02-04,288.2000,292.0000,272.0000,283.7500,13498958,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-05,283.7000,290.8800,282.2800,285.1000,6562562,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-08,287.3000,305.5300,285.6200,302.9000,8108982,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-09,305.1000,308.0000,294.6000,299.4000,8746124,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-10,299.4200,312.0000,293.0000,302.9700,8155988,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-18,312.0000,324.0000,302.9700,307.3400,10888344,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-19,307.5000,309.0000,290.0100,304.2800,8068185,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-22,305.0000,305.5000,287.3100,287.3100,9307624,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-23,278.0000,300.0000,277.0000,294.0000,6918414,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-24,294.0000,303.8000,285.5000,290.0000,7055065,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-25,290.5000,299.5000,285.0200,285.5000,5679424,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-26,279.0000,292.0000,274.0000,282.9800,6897825,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-01,286.9800,292.0000,284.0000,290.4700,4727969,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-02,297.0000,301.5000,290.0000,295.0000,6523083,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-03,293.9100,297.1500,285.0800,297.0200,5038255,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-04,292.0000,295.8800,272.2900,275.9800,9148508,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-05,267.0300,275.3000,257.2800,264.9000,9867195,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-08,268.0000,275.5000,256.0000,257.8000,8430030,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-09,257.9900,260.0100,245.3000,247.9800,7205579,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-10,257.0800,261.0000,251.0700,251.3900,7042077,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-11,252.4500,270.0000,252.4500,260.1300,7667108,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-12,263.0600,263.1700,253.8200,258.5200,4473543,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-15,255.9700,255.9700,239.9200,243.1000,8254649,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
