time,open,high,low,close,volume,note
2025-04-03,100.9900,104.3400,100.5300,101.7600,4865620,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-07,95.0000,98.8000,85.0200,88.3600,13912165,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-08,88.9400,92.0000,85.8600,88.1800,9409928,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-09,86.1800,90.6900,81.8800,89.3800,9471733,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-10,92.0000,94.3800,88.5800,89.0000,10465415,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-11,87.7500,92.3800,87.3000,88.9500,8248316,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-14,89.9700,92.8600,88.8600,89.8200,7386406,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-15,89.1000,90.8700,86.7700,88.0000,5809994,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-16,87.1700,88.5000,84.5000,87.6500,6974869,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-17,86.9900,90.7000,86.8900,88.1100,6842930,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-18,88.4500,89.3500,87.0800,88.1000,4461100,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-21,87.4900,91.8800,87.0000,90.1500,6566515,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-22,90.1500,90.5000,87.2000,88.0000,6103841,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-23,88.9500,91.2000,88.6800,89.7800,6031911,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-24,89.8000,90.6500,87.2000,88.9200,6621489,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-25,90.3900,96.0000,90.3900,94.8900,12918053,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-28,94.8600,95.8800,91.5800,93.0000,9325977,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-29,93.0000,98.0100,91.9000,97.2000,8664437,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-30,97.2800,98.6500,96.1500,98.0600,7711916,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-06,99.5700,101.5700,97.3400,100.6100,8433970,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-07,102.0000,102.5500,95.8000,97.5100,8046949,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-08,97.0200,97.9900,96.5200,97.5000,4608839,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-09,97.5100,99.4400,94.2000,95.5000,6368383,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-12,95.6000,97.3000,94.0000,95.1100,7142216,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-13,95.6000,97.6700,94.8600,95.4600,4159662,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-14,95.3500,98.5800,94.5000,95.0700,5598323,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-15,94.6300,95.8900,93.6500,94.0300,4191080,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-16,93.3700,95.5000,93.2000,94.0100,2709803,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-19,93.7000,94.3800,90.5700,91.5400,6855502,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-20,91.5400,93.4900,91.1300,92.0500,5055046,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-21,91.8300,93.0500,91.0300,92.1900,3607342,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-22,92.0000,92.9900,90.4700,90.4700,4452438,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-23,90.0100,91.4900,90.0100,90.2500,3564157,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-26,89.9000,91.8500,88.9500,90.6600,2641245,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-27,90.8300,90.8300,87.1000,87.7500,5797966,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-28,87.7500,88.2600,85.8600,86.8100,3434322,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-29,87.0800,89.9900,86.4900,89.9100,4187841,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-05-30,89.5100,90.5000,87.9300,89.3000,3001658,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-03,89.9600,92.2100,89.5200,90.1700,3911693,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-04,91.2400,92.6800,90.2000,92.4200,4238430,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-05,92.4200,96.9000,92.2200,96.5100,6374113,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-06,96.6600,99.9900,95.9800,98.0600,5423800,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-09,98.4500,101.3100,96.7000,99.2000,5130915,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-10,99.1100,99.1100,91.7000,93.5200,7457263,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-06-11,92.9100,93.9300,91.7700,92.1500,3953100,sz.300454 | 深信服 | baostock | adjustflag=3 raw
