time,open,high,low,close,volume,note
2024-03-28,1695.0000,1718.0000,1693.2000,1701.6400,2464218,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-29,1701.6400,1710.9900,1698.1000,1702.9000,1345655,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-01,1709.9900,1734.0000,1708.7000,1721.3300,2713137,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-02,1722.0000,1724.9900,1705.0500,1713.9900,2544925,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-03,1734.0000,1739.4400,1710.0200,1715.1100,2904580,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-08,1695.0000,1696.0000,1662.6000,1666.6600,5916659,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-09,1660.6700,1673.0000,1658.4500,1662.2200,2558982,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-10,1662.2700,1664.9900,1645.0000,1647.9800,2763050,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-11,1640.1100,1650.0000,1634.6900,1648.0000,2276624,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-12,1651.0000,1664.0000,1634.0300,1634.0300,2674433,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-15,1635.0100,1675.6100,1634.9800,1672.9800,3581771,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-16,1665.4900,1679.5600,1659.0000,1670.0000,2626623,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-17,1668.0000,1675.2000,1658.0000,1667.0000,2481911,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-18,1659.0100,1682.9800,1658.1800,1670.7800,2656841,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-19,1660.7800,1668.5000,1641.2800,1646.6400,2349992,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-22,1654.0000,1678.8800,1645.0000,1675.0600,2995139,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-23,1675.0000,1695.0000,1675.0000,1692.2800,2497995,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-24,1696.9800,1699.9100,1683.3300,1693.6000,1708643,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-25,1690.3300,1695.6000,1682.2500,1693.0400,1447648,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-26,1694.0000,1714.0000,1693.9800,1709.4300,3099592,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-29,1696.9500,1728.0000,1693.8200,1704.0000,4133223,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-04-30,1705.0100,1729.8800,1705.0000,1705.0000,3075989,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-06,1733.9700,1765.0000,1727.0000,1760.2000,5990949,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-07,1765.7900,1777.8000,1756.6800,1770.0000,2492452,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-08,1769.6900,1769.9700,1755.6700,1763.9700,1476909,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-09,1758.0000,1764.9800,1750.0000,1756.0000,2238734,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-10,1761.1000,1767.8800,1733.9900,1738.9800,2620661,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-13,1732.0200,1732.6600,1701.2200,1706.0000,3766212,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-14,1705.9900,1713.2700,1700.0100,1701.9800,2127417,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-15,1702.5800,1708.0000,1698.5900,1700.0000,1573876,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-16,1705.0000,1709.8800,1690.0000,1704.5000,2967954,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-17,1700.0100,1716.5800,1700.0000,1715.0000,2892388,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-20,1717.9900,1732.9900,1708.1100,1709.0000,3142572,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-21,1708.0000,1709.7300,1698.1600,1705.0000,1629339,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-22,1703.0000,1709.9600,1691.0000,1697.7100,2028568,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-23,1700.0000,1706.3800,1690.0800,1692.0100,1888497,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-24,1693.0000,1695.0000,1677.0000,1677.0800,2021663,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-27,1678.0000,1687.4500,1668.0100,1670.1200,2509791,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-28,1670.4000,1675.1700,1663.0000,1664.6400,2352087,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-29,1666.0000,1680.0000,1665.0000,1674.0000,1965128,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-30,1675.0000,1675.3800,1649.0000,1649.0000,3220792,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-05-31,1650.5000,1663.5000,1648.4500,1648.4500,2185665,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-03,1650.0000,1650.9200,1635.1100,1639.3900,3026105,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-04,1640.5000,1656.0000,1636.5500,1653.2000,2084108,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-05,1652.0000,1658.6800,1643.0300,1644.0000,1905557,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-06,1643.6600,1651.9900,1635.9100,1639.8100,2561005,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-07,1646.1300,1646.1800,1619.0100,1619.1800,3352455,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-11,1602.9900,1605.0000,1567.0000,1569.0000,7024676,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-12,1570.0000,1590.0000,1570.0000,1571.6800,3317050,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-13,1576.7700,1576.8900,1553.1500,1555.0100,3618597,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-14,1555.0000,1563.9600,1520.4600,1555.0000,5951416,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-17,1532.2900,1548.7700,1511.0100,1541.5000,4831816,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-18,1530.8900,1554.5400,1516.6800,1521.5000,4125825,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-19,1497.9900,1504.0000,1482.1000,1501.0000,4126153,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-20,1500.0000,1516.0100,1498.0000,1500.1000,2471068,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-21,1500.5000,1504.9800,1470.2200,1471.0000,4331997,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-24,1423.0000,1488.9900,1414.0100,1476.5500,6383993,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-25,1477.0000,1502.9900,1477.0000,1486.6500,4209795,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-26,1480.0000,1501.0700,1477.8000,1489.2200,2956977,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-27,1492.0000,1493.9700,1468.0000,1490.4900,3282178,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-06-28,1480.0000,1494.4900,1464.0000,1467.3900,3858202,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-01,1468.8800,1472.9900,1428.0000,1440.3800,3216138,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-02,1433.0000,1498.0000,1433.0000,1490.7000,5185298,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-03,1499.0000,1513.0100,1488.0200,1500.0000,3157326,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-04,1505.0000,1512.0000,1481.1300,1485.7400,2437973,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-05,1479.0000,1493.1800,1450.0000,1453.0000,3882938,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-08,1443.0000,1457.7700,1419.1400,1420.0000,3952705,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-09,1420.0000,1454.8900,1410.1000,1438.0300,3362071,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
