time,open,high,low,close,volume,note
2018-09-25,44.9000,45.3300,44.3300,44.6200,3817742,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-26,44.6300,45.0000,44.0300,44.6800,5309109,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-27,44.6400,44.8500,43.4500,43.9500,5176896,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-28,43.9400,44.3100,43.1800,44.0000,3918310,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-08,43.3400,44.6200,42.9300,43.1100,4445053,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-09,43.0000,43.4500,41.3500,42.2600,3720807,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-10,42.2300,43.0800,42.1600,42.8400,2920214,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-11,41.4500,43.1900,40.2700,40.8000,5797697,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-12,40.8000,41.9600,39.5300,41.5400,4743109,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-15,41.5000,42.8000,41.3100,41.5200,3617631,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-16,41.6500,42.4900,38.1500,39.2800,8300144,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-17,39.2800,40.1700,36.7000,37.6900,8155791,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-18,37.3000,39.1700,37.3000,38.2300,5180334,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-19,37.9400,39.7400,36.7200,39.4200,6609812,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-22,40.6000,42.1400,40.1200,41.2200,6643229,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-23,41.1500,41.6900,40.1500,40.4600,3618058,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-24,40.3000,41.3700,40.0800,40.6900,2953328,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-25,39.9000,40.8900,39.2100,40.4200,3369003,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-26,40.9000,41.4400,38.4100,39.1500,7253097,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-29,38.8700,38.8700,36.8500,37.8500,7475784,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-30,37.6100,38.2800,36.5200,37.7900,4979786,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-10-31,37.9100,38.8000,37.4000,38.3000,3919791,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-01,38.3600,39.2000,38.0500,38.4600,4788589,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-02,39.1200,40.1500,38.3900,40.1300,6859491,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-05,39.7000,39.9300,38.6200,39.4500,5267898,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-06,39.4500,39.5200,38.6500,39.4200,2513773,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-07,39.4200,39.7000,38.7600,39.0000,4015711,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-08,39.2800,39.3600,37.0600,37.1800,6250548,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-09,37.2200,38.9000,37.2200,38.6900,6528139,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-12,38.6900,39.2000,38.1100,39.0300,3681514,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-13,38.4100,40.3800,38.4100,39.9900,5276554,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-14,39.9900,40.2300,39.3000,39.7200,2559947,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-15,39.8900,40.5800,39.5800,40.4500,3128478,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-16,40.4900,40.7600,40.1100,40.2000,3052616,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-19,40.2000,40.5000,39.3600,39.8500,4031420,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-20,39.5400,40.9500,39.1300,39.5600,5864968,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-21,39.2500,39.3500,38.6000,38.8200,2306654,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-22,38.9800,39.1500,38.5100,38.7900,1240880,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-23,38.7500,38.9600,38.0000,38.2900,2709297,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-26,38.4600,38.5000,37.6800,37.7900,2893198,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-27,37.9100,38.6300,37.9100,38.4000,2408758,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-28,38.4500,38.8000,37.9100,38.4800,2101752,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-29,38.7300,39.4200,38.5100,38.8700,3038641,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-11-30,38.6900,39.2200,38.4200,39.1700,2230992,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-03,39.6100,40.4900,39.6100,40.2900,4110836,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-04,40.1000,40.1700,39.2100,39.6000,3429409,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-05,39.0000,40.1900,38.8800,39.9900,4623994,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-06,39.7500,40.1000,38.8200,38.9100,2926878,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-07,39.2000,39.7300,38.9900,39.4600,2170422,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-10,39.2000,39.2000,37.9900,38.0500,5406838,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-11,38.2300,38.8900,37.9200,38.1900,4052452,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-12,38.3900,38.4700,37.4000,37.7000,5293255,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-13,37.9000,38.3500,37.6700,38.1600,4004759,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-14,38.1000,38.7000,37.8800,38.0700,6127148,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-17,37.7000,38.3000,37.4000,37.7500,4208476,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-18,36.6000,37.3000,33.9800,35.3000,14800680,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-19,35.3900,35.4700,33.5000,34.4000,9117277,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-20,34.4500,34.5000,33.6000,34.2500,6730706,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-21,34.1000,34.1000,31.0600,32.7100,15523169,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-12-24,32.2600,33.2700,31.8800,33.2000,5822651,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
