time,open,high,low,close,volume,note
2018-10-29,18.6600,18.7900,17.7800,18.1700,6675350,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-30,18.3400,18.6600,18.0600,18.0600,10100036,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-31,18.1900,18.7800,18.0100,18.5400,9351564,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-01,18.7600,19.1300,18.6100,18.7700,10005691,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-02,20.0900,20.2000,19.5500,20.0200,19521010,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-05,19.9900,20.5000,19.7600,20.2500,11080465,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-06,20.1000,20.2000,19.4800,19.8300,5723658,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-07,19.8300,19.9500,19.0800,19.2500,12950312,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-08,19.4800,19.4800,17.8000,18.0800,21724193,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-09,18.0200,18.6200,17.7500,18.4800,12203703,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-12,18.4500,18.8700,18.1500,18.7600,15250192,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-13,18.8000,19.0000,18.5500,18.9000,16160044,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-14,18.9500,19.0000,18.3400,18.4500,7824125,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-15,18.5300,18.8500,18.3300,18.7700,8199015,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-16,18.8600,19.2200,18.6200,19.1300,12530144,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-19,19.1600,19.3300,18.3800,19.0300,14446998,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-20,18.8000,18.9100,18.3500,18.7000,7473953,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-21,18.5700,18.8300,18.2200,18.3700,6709177,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-22,18.4000,18.6000,18.2000,18.2700,6312287,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-23,18.2700,18.3300,17.8800,17.8900,7779279,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-26,18.0900,18.0900,16.9700,17.1300,12594322,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-27,17.2900,17.4500,16.9000,17.0500,7678847,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-28,17.0400,17.7300,16.9900,17.6500,7903301,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-29,17.8800,17.9400,16.9900,17.0000,7646031,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-11-30,17.1300,17.6500,17.0000,17.5400,9400554,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-12-03,18.2000,18.5000,17.8200,18.1700,18291664,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-12-04,18.1700,18.1800,17.5300,17.7400,9834971,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-12-05,17.5800,17.6400,17.1800,17.6000,11363372,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-12-06,17.3000,17.4900,16.9900,17.1000,10448660,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-12-07,17.2000,17.5400,16.9800,17.0500,8881420,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-12-10,17.0400,17.2400,16.9000,16.9400,7960015,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
