time,open,high,low,close,volume,note
2026-02-02,30.5300,30.7600,29.8800,29.8900,4772499,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-03,30.0000,30.7000,29.8500,30.6800,4236835,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-04,30.4200,30.6000,29.9400,30.4500,4466896,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-05,30.2900,30.6300,30.2000,30.5200,3065669,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-06,30.3500,30.4600,29.9600,30.1900,2862824,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-09,30.4900,30.6100,30.3500,30.5100,2759943,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-10,30.5200,30.9000,30.4500,30.6800,2658390,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-11,30.6000,30.8400,30.4800,30.5000,2413757,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-12,30.3800,30.6800,30.3600,30.5800,2551283,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-13,30.4300,30.7200,30.2300,30.2900,2834573,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-24,30.6100,30.8500,30.0200,30.0700,3198229,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-25,30.2000,30.3700,30.0800,30.1000,2763348,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-26,30.1000,30.2900,29.6300,29.6800,4362993,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-02-27,29.6500,29.9300,29.4600,29.5700,4119487,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-02,29.0100,29.1000,28.2800,28.4500,6577055,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-03,28.5600,28.5600,27.2800,27.3400,6282765,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-04,27.0100,27.4500,26.9000,27.0500,3958256,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-05,27.3600,27.5000,27.0000,27.0900,3985481,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-06,27.0000,27.2900,26.8900,27.2600,3114933,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-09,26.9900,26.9900,26.4000,26.7600,5043971,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-10,26.9900,27.4800,26.9900,27.3600,4505620,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-11,27.5300,28.0900,27.4600,27.8500,5959456,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-12,27.8000,28.1600,27.6800,28.0400,5238572,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-13,27.9400,28.5500,27.5800,28.1000,8311154,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-16,27.8600,28.5800,27.3300,28.5200,6958426,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-17,28.4600,28.5700,27.7800,27.8400,3863001,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-18,27.7600,27.9900,27.5000,27.8500,3159770,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-19,27.5800,27.7000,27.2300,27.3200,2751138,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-20,27.3400,27.6900,26.8000,26.8000,2994428,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-23,26.5200,26.6800,25.4900,25.7100,4985959,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-24,26.1100,26.3000,25.9000,26.2200,2720721,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-25,26.3100,26.8500,26.3100,26.4900,3191469,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-26,26.3400,26.5200,25.6800,25.8700,3293247,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-27,25.6200,26.5800,25.5600,26.5200,2887029,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-30,26.1100,26.4800,25.9200,26.4400,2208186,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-03-31,26.3400,26.7900,26.2900,26.3400,2548738,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-01,26.4700,26.9000,26.4100,26.6200,3024463,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-02,26.4100,26.6200,26.1000,26.2200,2580041,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-03,26.4100,26.4100,25.8100,25.8600,2480779,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-07,25.7600,26.0800,25.7600,25.9800,1865048,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-08,26.4800,27.4900,26.3900,27.4500,4361486,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-09,27.2100,27.4700,27.0100,27.1500,2776707,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-10,27.2300,27.5800,27.1200,27.2600,3475591,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-13,28.6900,29.7200,28.5000,28.9500,14484144,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-14,29.4600,29.5500,28.8700,29.0000,8063224,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-15,29.1300,30.0700,29.1000,29.2600,7713829,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-16,29.3100,29.8200,29.2000,29.3600,6508022,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-17,29.2100,29.7000,29.0800,29.5700,5545396,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-20,29.8400,30.3300,29.6800,29.9000,6664105,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-21,29.9400,30.0100,29.4800,29.9300,5126492,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-22,29.7800,30.4700,29.6400,30.3600,6575430,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-23,30.2000,30.5500,29.9800,30.1800,6070717,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-24,30.0200,30.2700,29.7400,30.1200,4441193,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-27,30.1100,31.0200,30.1100,30.7500,6561620,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-28,30.6100,30.7300,30.2000,30.3000,3796129,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-04-29,30.3000,31.0500,30.1700,30.8500,4841152,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
