time,open,high,low,close,volume,note
2025-08-20,28.2000,29.4800,28.0000,29.0000,166297670,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-21,29.0000,30.4200,28.9000,29.6800,195784444,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-22,30.0000,31.2100,29.4100,29.8700,225331315,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-25,31.2800,32.0000,30.6300,30.9600,231958533,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-26,30.5800,34.0600,30.4200,34.0600,240873207,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-27,33.8300,35.8800,33.1900,34.3900,283695522,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-28,34.2900,35.0100,33.3400,34.9300,229283020,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-08-29,34.8800,37.1700,33.9500,36.7200,238939468,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-01,36.7400,37.0000,34.5000,35.6800,219375753,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-02,35.0000,35.0000,32.9100,33.2400,245517608,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-03,33.3600,33.6500,32.1800,32.5100,174094762,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-04,32.9900,33.7900,31.3100,31.8800,185997923,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-05,31.8700,33.0000,31.3200,32.8000,163330768,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-08,33.0000,33.8500,32.1800,32.5400,145866460,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-09,32.0000,32.1300,31.0200,31.1800,141856303,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-10,31.1800,31.5000,30.6400,31.0800,113341913,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-11,30.8300,32.4000,30.3000,32.2100,191331676,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-12,32.2100,32.8500,31.5000,32.3400,156737486,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-15,33.0900,34.2400,32.1400,34.1100,229237251,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-16,33.7100,34.1800,32.9800,33.4400,153667107,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-17,33.5900,34.0600,32.5700,33.2000,136483965,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-18,32.5000,33.9700,32.2000,32.8200,173908577,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-19,32.9700,33.6300,32.5600,32.6200,137262550,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-22,33.9900,35.6700,33.8000,35.1400,260555775,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-23,35.6500,35.8000,33.0000,34.1500,211698093,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-24,33.4000,34.9100,33.0000,34.8000,149210618,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-25,34.6500,36.8800,34.4000,35.7700,192338451,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-09-26,35.7600,36.0500,34.2800,34.9600,147999599,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
