time,open,high,low,close,volume,note
2023-04-18,43.8900,47.9100,42.7000,47.8800,185910598,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-19,47.7100,52.6700,47.7100,49.7400,259933997,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-20,51.2000,54.7100,50.2200,54.7100,185357218,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-21,54.0000,55.0000,52.0500,53.5400,178462414,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-24,52.1500,55.5500,51.1000,53.9900,152327510,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-25,53.6100,59.3900,52.6100,59.3900,178692252,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-26,57.9000,58.4800,53.4500,53.4500,185132774,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-27,51.0000,52.5000,48.1100,48.1100,212393075,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-28,48.0000,51.0800,47.9700,50.7000,156777962,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-04,49.9900,52.1500,49.7200,50.7500,116815593,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-05,50.2000,50.8900,47.5800,48.4100,117659604,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-08,48.9300,51.5000,47.6800,50.5500,104050752,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-09,50.0000,55.0000,49.8300,52.9800,136383496,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-10,52.3800,53.4200,48.8900,50.1000,114589280,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-11,49.5000,49.9700,45.9400,46.3500,131066399,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-12,46.4800,47.2600,45.5100,45.6600,80397825,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-15,45.8100,46.1000,43.8300,45.9900,86320029,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-16,45.5900,45.9800,44.0900,44.2000,67420052,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-17,44.1900,46.6600,44.1700,45.4300,83774738,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-18,45.7000,49.1500,45.6800,48.3400,118719716,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-19,48.3900,49.9800,46.9200,47.1000,83140447,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-22,46.4000,48.1600,45.3400,46.1500,61187504,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-23,45.7500,46.1500,44.6300,44.8200,50960717,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-24,44.8800,45.9000,43.8800,44.7200,62089886,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-25,46.6300,47.9000,44.9000,47.2000,100384558,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-26,46.8100,50.8800,46.5000,50.1400,126282822,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-29,50.6200,52.0000,49.9600,50.0900,100124619,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-30,49.2200,54.2500,49.2200,54.0400,123991439,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-05-31,53.6600,53.9900,52.5000,53.5000,82892080,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-01,52.5000,55.2000,52.3300,52.6900,97496377,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-02,53.1000,53.5000,50.7700,50.7800,88714790,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-05,50.7900,52.2500,50.6200,51.7600,60652496,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-06,52.6500,53.2000,49.4900,50.0000,83036770,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-07,49.6600,50.8000,48.9200,49.8100,63564199,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-08,49.2600,50.5600,48.0800,49.8200,70877471,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-09,49.4000,52.4800,48.5000,52.0400,98489791,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-12,51.5900,53.4200,51.0100,51.2000,71692662,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-13,50.8600,54.9500,49.8800,53.7800,129548256,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-14,53.4000,56.6700,51.7100,55.4100,147050413,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-15,55.0000,55.8000,53.8200,53.9100,78562638,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-16,53.6000,56.4900,52.8300,55.7800,116395230,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-19,56.4000,61.2000,55.5000,61.1200,143160375,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-20,59.4900,60.7100,57.1400,59.6800,136954498,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-21,58.2000,58.3800,54.6300,54.6600,114054982,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-26,53.0000,54.2600,49.1900,49.1900,112501415,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-27,49.1300,49.8200,47.7000,49.2300,79057609,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-28,49.3500,49.4800,45.3000,47.8000,101745505,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-29,48.1400,49.8000,47.2000,49.7400,79195898,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-06-30,49.2000,51.6300,48.7500,50.9000,67550653,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-03,50.4400,50.9900,48.5000,50.1300,58985039,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-04,49.5000,50.7500,49.5000,50.1000,39609038,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-05,49.9600,50.2100,48.0500,48.0600,56143972,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-06,47.5200,49.9000,47.4600,48.7500,49963929,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-07,48.4500,48.6400,46.2200,46.7800,56961220,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-10,46.7800,47.2400,46.4100,46.8500,29540316,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-11,46.8000,49.7900,46.8000,48.6700,61531017,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-12,47.9800,48.7600,44.8000,45.1400,89915848,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-13,45.1700,46.4600,44.8300,45.7100,56228475,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-14,46.2700,49.5000,46.1300,48.7000,99393819,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-17,48.6900,51.0000,48.2400,49.5000,85457260,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-18,49.5000,50.3800,48.4700,48.4800,57376431,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-19,48.7000,49.4300,47.2000,47.9900,41679896,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-20,47.9000,48.0500,45.1100,45.2500,61692134,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-21,45.0500,45.5000,43.6100,44.1200,52265191,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-24,44.7900,47.7500,44.7000,46.1400,76015160,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-25,47.0000,47.2000,45.5600,46.1800,56981622,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-07-26,46.1800,46.1800,44.7000,45.1700,35162725,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
