time,open,high,low,close,volume,note
2022-01-26,464.0000,479.8800,464.0000,468.9100,1108751,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-27,466.8800,473.8800,461.6100,465.1900,1039806,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-28,465.0100,468.0000,442.2000,442.5000,1439643,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-07,451.6700,472.0000,451.6700,455.3000,1471908,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-08,455.9500,459.5000,437.0000,455.9000,1728332,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-09,456.0000,458.6600,445.2000,458.3300,1081722,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-10,460.6000,461.9900,442.4000,442.9500,1160428,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-11,443.0000,444.9800,416.8000,420.9800,2319277,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-14,413.0000,420.8300,405.0000,412.6200,1873774,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-15,413.0000,448.8000,409.0000,446.4100,3365135,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-16,446.4100,456.1000,442.0000,449.0000,1902207,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-17,449.0000,452.9600,442.5100,450.1000,1233883,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-18,447.3300,454.0000,444.1200,447.0000,1006381,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-21,445.7000,468.9800,445.0000,451.2400,1799568,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-22,449.6100,450.0100,428.5600,447.5000,1373293,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-23,447.4700,467.9800,444.2200,466.3600,1736124,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-24,461.5900,466.5000,448.0000,453.0000,1862952,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-25,462.0000,487.5000,457.0500,478.0000,2933365,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-02-28,476.0000,486.3000,471.7300,484.9900,1838379,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-01,485.4000,490.4500,481.0000,486.0000,1400702,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-02,481.1000,488.8900,473.0000,487.3700,1253932,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-03,495.9800,496.0000,474.0000,476.0000,1251665,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-04,468.0200,485.9700,468.0100,475.8800,1292151,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-07,471.8000,474.2800,459.0000,469.5000,1286874,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-08,458.5000,484.6900,458.0000,473.6800,2204636,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-09,480.0000,489.6200,462.0000,484.0000,2378491,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-10,495.0000,497.9900,470.1100,473.0000,2499518,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-11,462.0000,469.8500,435.5000,449.7800,2867141,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-14,442.2300,442.9900,425.5000,428.0100,2241878,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-15,423.9000,433.2900,408.0000,408.8000,2506060,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-16,410.0100,429.6500,391.0900,423.2300,2539385,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-17,433.0000,450.8000,426.8300,441.9000,2515822,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-18,439.0000,442.7200,432.9400,437.9000,1123453,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-21,439.5000,445.5700,433.0000,441.2200,1138204,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-22,441.1800,441.1800,427.0000,429.0100,1027500,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-23,433.0000,462.0000,429.1300,456.0300,1913306,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-24,458.0000,468.5000,449.5100,464.7600,1795150,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-25,458.5000,464.7600,449.5100,449.8100,1181341,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-28,442.0300,453.2600,436.0100,438.2500,1185652,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-29,435.0000,448.8900,435.0000,438.7200,853475,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-30,441.0100,478.8800,441.0100,478.8800,2321071,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-03-31,474.0000,481.5000,470.9800,475.0000,1430868,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-01,472.0000,496.3800,468.0000,490.8800,1943985,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
