time,open,high,low,close,volume,note
2011-02-15,5.5500,5.5900,5.5100,5.5400,15638411,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-16,5.5400,5.5500,5.4700,5.5500,10665569,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-17,5.5500,5.5700,5.4900,5.5400,10075208,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-18,5.5400,5.5700,5.4700,5.4900,9982837,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-21,5.4800,5.5700,5.4600,5.5600,11172147,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-22,5.5500,5.5600,5.4600,5.4900,12954119,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-23,5.4900,5.5300,5.4700,5.5100,7514691,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-24,5.5000,5.5500,5.4700,5.5400,7724250,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-25,5.5500,5.5500,5.4700,5.5300,5616229,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-28,5.5200,5.5600,5.5000,5.5600,7354375,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-01,5.5600,5.6400,5.5300,5.6100,12573346,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-02,5.5700,5.6400,5.5300,5.6000,13132610,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-03,5.6300,5.6400,5.5500,5.5600,9084179,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-04,5.5700,5.6100,5.5500,5.6100,8749966,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-07,5.6100,5.6800,5.6100,5.6800,15616187,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-08,5.6900,5.6900,5.6100,5.6700,10735617,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-09,5.6700,5.6700,5.6200,5.6400,9975921,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-11,5.5800,5.5800,5.4900,5.5200,12314559,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-14,5.5000,5.5300,5.4600,5.5100,7463086,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-15,5.5000,5.5000,5.3300,5.4100,9549213,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-16,5.4000,5.4500,5.3800,5.4200,7906585,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-17,5.4000,5.6200,5.3600,5.4800,18947419,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-18,5.4400,5.4900,5.3800,5.4400,11008898,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-21,5.4600,5.4700,5.4000,5.4100,5994711,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-22,5.4000,5.4300,5.3900,5.4300,8825344,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-23,5.4300,5.5700,5.4100,5.5700,16434239,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-24,5.5700,5.6200,5.5200,5.5200,7733970,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-25,5.5300,5.5800,5.4800,5.5400,8796506,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-28,5.5500,5.6300,5.5500,5.6200,13970176,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-29,5.6100,5.7500,5.6000,5.6500,24807681,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-30,5.6600,5.6800,5.5700,5.6000,12233176,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-03-31,5.6200,5.6500,5.5000,5.5300,7964634,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-01,5.5000,5.5500,5.4700,5.5400,13602541,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-06,5.5300,5.6500,5.4800,5.6100,14638900,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-07,5.6000,5.6100,5.5500,5.5900,7683522,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-08,5.5900,5.6500,5.5700,5.6400,10592656,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-11,5.6000,5.7400,5.6000,5.6900,21744389,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-12,5.6700,6.2600,5.6600,6.1000,80051156,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
